Field Name,Title,Types,Format,Description
publisher,,object,,Information to uniquely identify the publisher of this package.
publicationPolicy,,"string, null",uri,A link to a document describing the publishers publication policy.
license,,"string, null",uri,A link to the license that applies to the data in this datapackage. [Open Definition Conformant](http://opendefinition.org/licenses/) licenses are strongly recommended. The canonical URI of the license should be used. Documents linked from this file may be under other license conditions. 
publishedDate,,string,date-time,The date that this package was published.
uri,Package Identifier,string,uri,The URI of this package that identifies it uniquely in the world.
records,,array,,The records for this data package.
packages,,array,,A list of URIs of all the release packages that were used to create this record package.
